chitin cuirass,Chitin Cuirass
T_Com_Iron_Helm_01,Iron Helmet
T_Com_Iron_Helm_02,Iron Helmet
T_Com_Iron_Helm_Open,Iron Helmet
T_Com_Iron_PauldronL_01,Iron Left Pauldron
T_Com_Iron_PauldronL_02,Iron Left Pauldron
T_Com_Iron_PauldronR_01,Iron Right Pauldron
T_Com_Iron_PauldronR_02,Iron Right Pauldron
T_Com_IronSkull_PauldronL_01,Gruesome Iron Left Pauldron
T_Com_IronSkull_PauldronR_01,Gruesome Iron Right Pauldron
T_Com_IronSpike_PauldronL_01,Spiked Iron Left Pauldron
T_Com_IronSpike_PauldronR_01,Spiked Iron Right Pauldron
T_Com_Steel_Boots_Consuming,Boots of Consuming Indwelling
T_Com_Steel_Boots_Creeping,Boots of the Creeping Things
T_Com_Steel_Boots_Glacial,Boots of Glacial Hue
T_Com_Steel_Boots_Perfection,Boots of Exquisite Perfection
T_Com_Steel_Cuirass_01,Steel Cuirass
T_Com_Steel_Cuirass_02,Steel Cuirass
T_Com_Steel_Cuirass_03,Steel Cuirass
T_Com_Steel_Cuirass_04,Steel Cuirass
T_Com_Steel_Cuirass_DuskDawn,Cuirass of Dusk and the Dawn
T_Com_Steel_Cuirass_FinalVirtue,Cuirass of Final Virtue
T_Com_Steel_Cuirass_Outermost,Cuirass of the Outermost Wastes
T_Com_Steel_Cuirass_ScalyPelt,Cuirass of the Scaly Pelt
T_Com_Steel_Cuirass_Steelhearth,Cuirass of Steelhearth
T_Com_Steel_GauntletL_RainFire,L Gauntlet of the Rain of Fire
T_Com_Steel_GauntletL_Scathing,Left Gauntlet of Scathing
T_Com_Steel_GauntletL_Summer,L Gauntlet of the Summer's Day
T_Com_Steel_GauntletL_Wonder,L Gauntlet of Expectant Wonder
T_Com_Steel_GauntletR_RainFire,R Gauntlet of the Rain of Fire
T_Com_Steel_GauntletR_Scathing,Right Gauntlet of Scathing
T_Com_Steel_GauntletR_Summer,R Gauntlet of the Summer's Day
T_Com_Steel_GauntletR_Wonder,R Gauntlet of Expectant Wonder
T_Com_Steel_Greaves_BitingPains,Greaves of the Biting Pains
T_Com_Steel_Greaves_Kings,Greaves of Kings
T_Com_Steel_Greaves_StampToad,Greaves of Stamp of the Toad
T_Com_Steel_Greaves_Unrequited,Greaves of Unrequited Intent
T_Com_Steel_Helm_01,Steel Helm
T_Com_Steel_Helm_Despair,Helmet of Despair
T_Com_Steel_Helm_Open_01,Steel Helm
T_Com_Steel_Helm_Open_02,Steel Helm
T_Com_Steel_Helm_Preciptious,Helm of Precipitous Revelation
T_Com_Steel_Helm_TongueWyrm,Helm of the Tongue of the Wyrm
T_Com_Steel_Helm_WindingRoad,Helmet of the Winding Road
T_Com_Steel_PauldronL_01,Steel Left Pauldron
T_Com_Steel_PauldronL_02,Steel Left Pauldron
T_Com_Steel_PauldronL_03,Steel Left Pauldron
T_Com_Steel_PauldronL_MisHand,L Pauldron of Mischievous Hand
T_Com_Steel_PauldronL_MonkeyApp,L Pauldron Monkey Apprehension
T_Com_Steel_PauldronL_Sacred,Left Pauldron of Sacred Honor
T_Com_Steel_PauldronL_WinterWin,L Pauldron of Winter's Winds
T_Com_Steel_PauldronR_01,Steel Right Pauldron
T_Com_Steel_PauldronR_02,Steel Right Pauldron
T_Com_Steel_PauldronR_03,Steel Right Pauldron
T_Com_Steel_PauldronR_MisHand,R Pauldron of Mischievous Hand
T_Com_Steel_PauldronR_MonkeyApp,R Pauldron Monkey Apprehension
T_Com_Steel_PauldronR_Sacred,Right Pauldron of Sacred Honor
T_Com_Steel_PauldronR_WinterWin,R Pauldron of Winter's Winds
T_Com_SteelSpike_PauldronL_01,Spiked Steel Left Pauldron
T_Com_SteelSpike_PauldronR_01,Spiked Steel Right Pauldron
T_Cr_Goblin_Helm_01,Goblin Helmet
T_Cr_Goblin_PauldronL_01,Goblin Left Pauldron
T_Cr_Goblin_PauldronR_01,Goblin Right Pauldron
T_Cr_Goblin_Shield_01,Goblin Shield
T_Dae_Lord_Boots_01,<Deprecated>
T_Dae_Lord_GauntletL_01,<Deprecated>
T_Dae_Lord_GauntletR_01,<Deprecated>
T_Dae_Lord_Helm_01,<Deprecated>
T_Dae_Lord_PauldronL_01,<Deprecated>
T_Dae_Lord_PauldronR_01,<Deprecated>
T_Dae_Regular_HelmConsolat_01,Daedric Face of Consolation
T_Dae_Regular_HelmHumiliat_01,<Deprecated>
T_Dae_Regular_HelmHumiliat_02,Daedric Face of Humiliation
T_Dae_Regular_HelmRebellion_01,Daedric Face of Rebellion
T_Dae_Regular_PauldronL_01,<Deprecated>
T_Dae_Regular_PauldronR_01,<Deprecated>
T_Dae_Regular_ShieldTower_01,<Deprecated>
T_Dae_UNI_AuroranGauntletL,Auroran Left Gauntlet
T_Dae_UNI_AuroranGauntletR,Auroran Right Gauntlet
T_Dae_UNI_BootsOfAtronach,Boots of the Atronach
T_Dae_UNI_BootsOfPeace_01,Boots of Peace
T_Dae_UNI_BootsSaviorsHide,Boots of the Savior's Hide
T_Dae_UNI_Fearstruck,Fearstruck
T_Dae_UNI_GauntletOfPoor_L,Left Gauntlet of the Poor
T_Dae_UNI_GauntletOfPoor_R,Right Gauntlet of the Poor
T_Dae_UNI_GreavesSaviorsHide,Greaves of the Savior's Hide
T_Dae_UNI_HelmLightWithin_01,Helm of Light Within
T_Dae_UNI_HelmSaviorsHide,Helm of the Savior's Hide
T_Dae_UNI_LGauntSaviorsHide,L Gauntlet of the Savior's Hide
T_Dae_UNI_LMethatsPauldron,Lord Methats' Left Pauldron
T_Dae_UNI_LPauldSaviorsHide,L Pauldron of the Savior's Hide
T_Dae_UNI_Polyhedrascope_01,Bizarre Helmet
T_Dae_UNI_RGauntSaviorsHide,R Gauntlet of the Savior's Hide
T_Dae_UNI_RMethatsPauldron,Lord Methats' Right Pauldron
T_Dae_UNI_RPauldSaviorsHide,R Pauldron of the Savior's Hide
T_De_AlmaRula_Helm_UNI,Mask of the Alma Rula
T_De_Bonemold_Chuzei_Boots,Chuzei Bonemold Boots
T_De_Bonemold_Chuzei_Boots_E,Engraved Chuzei Boots
T_De_Bonemold_Chuzei_BracerL,Chuzei Bonemold L Bracer
T_De_Bonemold_Chuzei_BracerL_E,Engraved Chuzei L Bracer
T_De_Bonemold_Chuzei_BracerR,Chuzei Bonemold R Bracer
T_De_Bonemold_Chuzei_BracerR_E,Engraved Chuzei R Bracer
T_De_Bonemold_Chuzei_Cuirass,Chuzei Bonemold Cuirass
T_De_Bonemold_Chuzei_Cuirass_E,Engraved Chuzei Cuirass
T_De_Bonemold_Chuzei_Greaves,Chuzei Bonemold Greaves
T_De_Bonemold_Chuzei_Greaves_E,Engraved Chuzei Greaves
T_De_Bonemold_Chuzei_Helm_E,Engraved Chuzei Helmet
T_De_Bonemold_Chuzei_PauldL,Chuzei Bonemold L Pauldron
T_De_Bonemold_Chuzei_PauldL_E,Engraved Chuzei L Pauldron
T_De_Bonemold_Chuzei_PauldR,Chuzei Bonemold R Pauldron
T_De_Bonemold_Chuzei_PauldR_E,Engraved Chuzei R Pauldron
T_De_Bonemold_HelmOpen_01,Bonemold Open Helm
T_De_Bonemold_HelmRider_01,Bonemold Rider Helm
T_De_Bonemold_Stone_Boots,Bal-Darum Bonemold Boots
T_De_Bonemold_Stone_Cuirass,Bal-Darum Bonemold Cuirass
T_De_Bonemold_Stone_GauntletL,Bal-Darum Bonemold L Gauntlet
T_De_Bonemold_Stone_GauntletR,Bal-Darum Bonemold R Gauntlet
T_De_Bonemold_Stone_Greaves,Bal-Darum Bonemold Greaves
T_De_Bonemold_Stone_Helm,Bal-Darum Bonemold Helm
T_De_Bonemold_Stone_PauldL,Bal-Darum Bonemold L Pauldron
T_De_Bonemold_Stone_PauldR,Bal-Darum Bonemold R Pauldron
T_De_Bonemold_Ulvra_Boots,Ulvra-Serad Bonemold Boots
T_De_Bonemold_Ulvra_BracerL,Ulvra-Serad Bonemold L Bracer
T_De_Bonemold_Ulvra_BracerR,Ulvra-Serad Bonemold R Bracer
T_De_Bonemold_Ulvra_Cuirass,Ulvra-Serad Bonemold Cuirass
T_De_Bonemold_Ulvra_Greaves,Ulvra-Serad Bonemold Greaves
T_De_Bonemold_Ulvra_Helm,Ulvra-Serad Bonemold Helm
T_De_Bonemold_Ulvra_PauldL,Ulvra-Serad Bonemold L Pauldron
T_De_Bonemold_Ulvra_PauldR,Ulvra-Serad Bonemold R Pauldron
T_De_BonemoldKrage_Boots_01,Kragen Bonemold Boots
T_De_BonemoldKrage_Cuirass_01,Kragen Bonemold Cuirass
T_De_BonemoldKrage_GauntletL_01,Kragen Bonemold Left Gauntlet
T_De_BonemoldKrage_GauntletR_01,Kragen Bonemold Right Gauntlet
T_De_BonemoldKrage_Greaves_01,Kragen Bonemold Greaves
T_De_BonemoldKrage_Helm_01,Native Kragen Bonemold Helm
T_De_BonemoldKrage_PauldronL_01,Kragen Bonemold Left Pauldron
T_De_BonemoldKrage_PauldronR_01,Kragen Bonemold Right Pauldron
T_De_BonemoldKragen_Helm_01,Native Kragen Bonemold Helm
T_De_BonemoldMarad_Cuirass_01,Maradlai Bonemold Cuirass
T_De_BonemoldMarad_Helm_01,Native Maradlai Bonemold Helm
T_De_BonemoldMarad_Helm_02,Native Maradlai Veteran Helm
T_De_BonemoldMarad_PauldronL_01,Maradlai Bonemold L Pauldron
T_De_BonemoldMarad_PauldronR_01,Maradlai Bonemold R Pauldron
T_De_BonemoldMarad_Shield_01,Maradlai Bonemold Shield
T_De_BonemoldSammas_Helm_01,Native Sammas Bonemold Helm
T_De_CanyonWatch_Boots_01,Shipal-Arai Bonemold Boots
T_De_CanyonWatch_BracerL_01,Shipal-Arai Bonemold L Bracer
T_De_CanyonWatch_BracerR_01,Shipal-Arai Bonemold R Bracer
T_De_CanyonWatch_Cuirass_01,Shipal-Arai Bonemold Cuirass
T_De_CanyonWatch_Greaves_01,Shipal-Arai Bonemold Greaves
T_De_CanyonWatch_Helm_01,Shipal-Arai Bonemold Helm
T_De_CanyonWatch_PauldronL_01,Shipal-Arai Bonemold L Pauldron
T_De_CanyonWatch_PauldronR_01,Shipal-Arai Bonemold R Pauldron
T_De_Caravaner_Helm_01,Caravaner's Helm
T_De_Chitin_HelmOpen_01,Chitin Open Helm
T_De_Chitin_PauldrL_01,Chitin Light Left Pauldron
T_De_Chitin_PauldrR_01,Chitin Light Right Pauldron
T_De_Chitin_PioneerHelm_01,Chitin Pioneer Helm
T_De_Chitin_PioneerHelm_02,Advanced Chitin Pioneer Helm
T_De_Cm_HatTelv_01,Common Telvanni Hat
T_De_Cm_HatTelv_02,Common Telvanni Hat
T_De_Cm_HatTelv_03,Common Telvanni Hat
T_De_Cm_HatTelv_04,Common Telvanni Hat
T_De_Cm_HatTelv_05,Common Telvanni Hat
T_De_DaedricHide_Boots_01,<Deprecated>
T_De_DaedricHide_Cuirass_01,<Deprecated>
T_De_DaedricHide_GauntletL_01,<Deprecated>
T_De_DaedricHide_GauntletR_01,<Deprecated>
T_De_DaedricHide_Greaves_01,<Deprecated>
T_De_DaedricHide_PauldronL_01,<Deprecated>
T_De_DaedricHide_PauldronR_01,<Deprecated>
T_De_Diviner_Helm_01,Diviner Helm
T_De_DresBonemold_Boots_01,Native Gah'Kogo Boots
T_De_DresBonemold_Cuirass_01,Native Gah'Kogo Cuirass
T_De_DresBonemold_GauntletL_01,Native Gah'Kogo Left Gauntlet
T_De_DresBonemold_GauntletR_01,Native Gah'Kogo Right Gauntlet
T_De_DresBonemold_Greaves_01,Native Gah'Kogo Greaves
T_De_DresBonemold_Helm_01,Native Gah'Kogo Helm
T_De_DresBonemold_PauldronL_01,Native Gah'Kogo Left Pauldron
T_De_DresBonemold_PauldronR_01,Native Gah'Kogo Right Pauldron
T_De_DresBonemold_ShieldTow_01,Native Gah'Kogo Tower Shield
T_De_DresChapthil_Helm_01a,Chap-thil Hat
T_De_DresChapthil_Helm_01b,Chap-thil Hat
T_De_DresChapthil_Helm_01c,Chap-thil Hat
T_De_DresChapthil_Helm_01d,Chap-thil Hat
T_De_DresChapthil_Helm_01e,Chap-thil Hat
T_De_DresChapthil_Helm_02a,Chap-thil Hat
T_De_DresChapthil_Helm_02b,Chap-thil Hat
T_De_DresChapthil_Helm_02c,Chap-thil Hat
T_De_DresChapthil_Helm_02d,Chap-thil Hat
T_De_DresChapthil_Helm_02e,Chap-thil Hat
T_De_DresChapthil_Helm_03a,Chap-thil Hat
T_De_DresChapthil_Helm_03b,Chap-thil Hat
T_De_DresChapthil_Helm_03c,Chap-thil Hat
T_De_DresChapthil_Helm_03d,Chap-thil Hat
T_De_DresChapthil_Helm_03e,Chap-thil Hat
T_De_DresHunter_Cuirass_01,Dres Hunter Cuirass
T_De_DresHunter_Greaves_01,Dres Hunter Greaves
T_De_DresHunter_Helm_01,Dres Hunter Helm
T_De_DresHunter_PauldronL_01,Dres Hunter Left Pauldron
T_De_DresHunter_PauldronR_01,Dres Hunter Right Pauldron
T_De_DresSaltMerc_Helm_01,Dres Salt Merchant Helm
T_De_DresSaltMerc_Helm_02,Dres Salt Merchant Helm
T_De_Dreugh_Boots_01,Dreugh Boots
T_De_Dreugh_BracerL_01,Dreugh Left Bracer
T_De_Dreugh_BracerR_01,Dreugh Right Bracer
T_De_Dreugh_Greaves_01,Dreugh Greaves
T_De_Dreugh_Helm_Closed,Dreugh Helm
T_De_Dreugh_Hunter_Helm_01,Dreugh Hunter Helm
T_De_Dreugh_Hunter_Helm_02,Dreugh Warlord Helm
T_De_Dreugh_PauldronL_01,Dreugh Left Pauldron
T_De_Dreugh_PauldronL_Swim,Dreugh Left Pauldron-Fin
T_De_Dreugh_PauldronR_01,Dreugh Right Pauldron
T_De_Dreugh_PauldronR_Swim,Dreugh Right Pauldron-Fin
T_De_Dreugh_Shield_Swim,Dreugh Shield of Meriyon's Fins
T_De_Ebony_Helm_02,Ebony Helm
T_De_Ebony_HelmOpen_01,Ebony Open Helm
T_De_Ep_HatTelv_01,Expensive Telvanni Hat
T_De_Ep_HatTelv_02,Expensive Telvanni Hat
T_De_Ep_HatTelv_03,Expensive Telvanni Hat
T_De_Et_HatTelv_01,Extravagant Telvanni Hat
T_De_Et_HatTelv_02,Extravagant Telvanni Hat
T_De_Ex_HatTelv_01,Exquisite Telvanni Hat
T_De_Ex_HatTelv_02,Exquisite Telvanni Hat
T_De_FiendCephalopodHelm_01,Fiend Cephalopod Helm
T_De_FiendMoleCrabHelm_01,Fiend Mole Crab Helm
T_De_Glass_Helm_Closed_01,Glass Closed Helm
T_De_HvChit_Boots,Heavy Chitin Boots
T_De_HvChit_Cuirass,Heavy Chitin Cuirass
T_De_HvChit_Gauntlet_L,Heavy Chitin Left Gauntlet
T_De_HvChit_Gauntlet_R,Heavy Chitin Right Gauntlet
T_De_HvChit_Greaves,Heavy Chitin Greaves
T_De_HvChit_Helmet,Heavy Chitin Helmet
T_De_HvChit_Pauldron_L,Heavy Chitin Left Pauldron
T_De_HvChit_Pauldron_R,Heavy Chitin Right Pauldron
T_De_IndBonemold_Boots_01,Native Chuzei Bonemold Boots
T_De_IndBonemold_Cuirass_01,Native Chuzei Bonemold Cuirass
T_De_IndBonemold_GauntletL_01,Native Chuzei Left Gauntlet
T_De_IndBonemold_GauntletR_01,Native Chuzei Right Gauntlet
T_De_IndBonemold_Greaves_01,Native Chuzei Bonemold Greaves
T_De_IndBonemold_HelmSaviour_01,Indoril Savior Helmet
T_De_IndBonemold_PauldronL_01,Native Chuzei Left Pauldron
T_De_IndBonemold_PauldronL_02,Native Chuzei Left Pauldron
T_De_IndBonemold_PauldronR_01,Native Chuzei Right Pauldron
T_De_IndBonemold_PauldronR_02,Native Chuzei Right Pauldron
T_De_IndBonemold_Shield_01,Native Chuzei Bonemold Shield
T_De_IndBonemold_Shield_02,Native Chuzei Bonemold Shield
T_De_IndBonemold_Shield_03,Native Chuzei Bonemold Shield
T_De_IndBonemold_Shield_04,Native Chuzei Bonemold Shield
T_De_IndBonemold_Shield_05,Native Chuzei Bonemold Shield
T_De_IndChevAram_Boots_01,Chev-Aram Chitin Boots
T_De_IndChevAram_BracerL_01,Chev-Aram Chitin Left Bracer
T_De_IndChevAram_BracerR_01,Chev-Aram Chitin Right Bracer
T_De_IndChevAram_Cuirass_01,Chev-Aram Chitin Cuirass
T_De_IndChevAram_Greaves_01,Chev-Aram Chitin Greaves
T_De_IndChevAram_Helm_01,Native Chev-Aram Chitin Helm
T_De_IndChevAram_Helm_02,Native Chev-Aram Chitin Helm
T_De_IndChevAram_PauldrL_01,Chev-Aram Chitin Left Pauldron
T_De_IndChevAram_PauldrR_01,Chev-Aram Chitin Right Pauldron
T_De_Molecrab_Boots_01,Telvanni Molecrab Boots
T_De_Molecrab_BracerL_01,Telvanni Molecrab Left Bracer
T_De_Molecrab_BracerR_01,Telvanni Molecrab Right Bracer
T_De_Molecrab_Cuirass_01,Telvanni Molecrab Cuirass
T_De_Molecrab_Greaves_01,Telvanni Molecrab Greaves
T_De_Molecrab_PauldronL_01,Telvanni Molecrab L Pauldron
T_De_Molecrab_PauldronR_01,Telvanni Molecrab R Pauldron
T_De_NativeEbony_Boots_01,Native Ebony Boots
T_De_NativeEbony_Cuirass_01,Native Ebony Cuirass
T_De_NativeEbony_GauntletL_01,Native Ebony Left Gauntlet
T_De_NativeEbony_GauntletR_01,Native Ebony Right Gauntlet
T_De_NativeEbony_Greaves_01,Native Ebony Greaves
T_De_NativeEbony_HelmClosed_01,Native Ebony Closed Helmet
T_De_NativeEbony_HelmClosed_02,Native Ebony Closed Helmet
T_De_NativeEbony_HelmOpen_01,Native Ebony Open Helmet
T_De_NativeEbony_HelmOpen_02,Native Ebony Open Helmet
T_De_NativeEbony_PauldronL_01,Native Ebony Left Pauldron
T_De_NativeEbony_PauldronR_01,Native Ebony Right Pauldron
T_De_Necrom_Boots_01,Necrom Indoril Boots
T_De_Necrom_Cuirass_01,Necrom Indoril Cuirass
T_De_Necrom_Cuirass_02,Necrom Speaker Cuirass
T_De_Necrom_GauntletL_01,Necrom Indoril Left Gauntlet
T_De_Necrom_GauntletR_01,Necrom Indoril Right Gauntlet
T_De_Necrom_Greaves_01,Necrom Indoril Greaves
T_De_Necrom_Helm_01,Necrom Indoril Helmet
T_De_Necrom_PauldronL_01,Necrom Indoril Left Pauldron
T_De_Necrom_PauldronR_01,Necrom Indoril Right Pauldron
T_De_Necrom_Shield_01,Necrom Indoril Shield
T_De_Netch_Cuirass_01,Netch Leather Cuirass
T_De_Netch_Cuirass_02,Netch Leather Cuirass
T_De_Netch_Cuirass_03,Netch Leather Cuirass
T_De_Netch_Helm_01,Netch Leather Helm
T_De_Netch_Helm_02,Netch Leather Helm
T_De_NetchRogue_Cuirass_01,Netch Leather Rogue Cuirass
T_De_NetchRogue_Helm_01,Netch Leather Rogue Helm
T_De_NetchRogue_Helm_02,Netch Leather Rogue Hood
T_De_NetchStalker_Helm_01,Netch Leather Stalker Helm
T_De_Ordinator_Greaves_01,Indoril Greaves
T_De_RedBonemold_HelmOpen_01,Redoran Open Helm
T_De_RedHeroBonemold_Cuirass_01,Redoran Cuirass
T_De_RedHeroBonemold_Helm_01,Redoran Helm
T_De_RedHeroBonemold_Helm_02,Redoran Helm
T_De_RedHeroBonemold_Helm_03,Redoran Mushroom Helm
T_De_RedHeroBonemold_PauldrL_01,Redoran Left Pauldron
T_De_RedHeroBonemold_PauldrR_01,Redoran Right Pauldron
T_De_RedMastBonemold_Cuirass_01,Redoran Master Cuirass
T_De_RedMastBonemold_PauldrL_01,Redoran Master Left Pauldron
T_De_RedMastBonemold_PauldrR_01,Redoran Master Right Pauldron
T_De_RedoranWatchman_Boots,Redoran Watchman's Boots
T_De_RedoranWatchman_Cuirass,Redoran Watchman's Cuirass
T_De_RedoranWatchman_GauntletL,Redoran Watchman's L Gauntlet
T_De_RedoranWatchman_GauntletR,Redoran Watchman's R Gauntlet
T_De_RedoranWatchman_Greaves,Redoran Watchman's Greaves
T_De_RedoranWatchman_PauldronL,Redoran Watchman's L Pauldron
T_De_RedoranWatchman_PauldronR,Redoran Watchman's R Pauldron
T_De_RedWatchChitin_Boots_01,<Deprecated>
T_De_RedWatchChitin_Cuirass_01,<Deprecated>
T_De_RedWatchChitin_GauntlL_01,<Deprecated>
T_De_RedWatchChitin_GauntlR_01,<Deprecated>
T_De_RedWatchChitin_Greaves_01,<Deprecated>
T_De_RedWatchChitin_PauldrL_01,<Deprecated>
T_De_RedWatchChitin_PauldrR_01,<Deprecated>
T_De_TelvCephalopod_Boots_01,Telvanni Cephalopod Boots
T_De_TelvCephalopod_Cuirass_01,Telvanni Cephalopod Cuirass
T_De_TelvCephalopod_GauntL_01,Telvanni Cephalopod L Gauntlet
T_De_TelvCephalopod_GauntR_01,Telvanni Cephalopod R Gauntlet
T_De_TelvCephalopod_Greaves_01,Telvanni Cephalopod Greaves
T_De_TelvCephalopod_PauldL_01,Telvanni Cephalopod L Pauldron
T_De_TelvCephalopod_PauldR_01,Telvanni Cephalopod R Pauldron
T_De_ThirrBonemold_Boots_01,Native Thirr Bonemold Boots
T_De_ThirrBonemold_Bracer_01_L,Native Thirr Left Bracer
T_De_ThirrBonemold_Bracer_01_R,Native Thirr Right Bracer
T_De_ThirrBonemold_Cuirass_01,Native Thirr Bonemold Cuirass
T_De_ThirrBonemold_Greaves_01,Native Thirr Bonemold Greaves
T_De_ThirrBonemold_Helm_01,Native Thirr Bonemold Helm
T_De_ThirrBonemold_Pauldrn_01_L,Native Thirr Left Pauldron
T_De_ThirrBonemold_Pauldrn_01_R,Native Thirr Right Pauldron
T_De_UNI_FacelessHelm,Indoril Helmet
T_De_UNI_IrfeidsShoulderL,Irfeid's Left Shoulder
T_De_UNI_IrfeidsShoulderR,Irfeid's Right Shoulder
T_De_UNI_PreyseekerHelm,Preyseeker
T_De_UNI_Shield_Abernanit,Shield of Abernanit
T_De_UNI_ShoulderOfGhostlightL,Left Shoulder of Ghostlight
T_De_UNI_ShoulderOfGhostlightR,Right Shoulder of Ghostlight
T_De_UNI_UshuDimmuCrown,Crown of Ushu-Dimmu
T_De_UNI_Vanguard,Vanguard
T_De_UNI_VivecShield,Bug Shield of Vivec
T_Dwe_Regular_ShieldTower_01,Dwarven Towershield
T_Dwe_Scrap_boots,Dwemer Scrap Boots
T_Dwe_Scrap_Bracer_L,Dwemer Scrap Left Bracer
T_Dwe_Scrap_Bracer_R,Dwemer Scrap Right Bracer
T_Dwe_Scrap_cuirass,Dwemer Scrap Cuirass
T_Dwe_Scrap_greaves,Dwemer Scrap Greaves
T_Dwe_Scrap_helmet,Dwemer Scrap Helmet
T_Dwe_Scrap_Pauldron_L,Dwemer Scrap Left Pauldron
T_Dwe_Scrap_Pauldron_R,Dwemer Scrap Right Pauldron
T_Dwe_UNI_MaskOfPurity,Masque of Purity
T_Glb_Var_HeadFixer,Vampire Head Fixer
T_He_AltmerGlass_Boots_01,Altmer Glass Boots
T_He_AltmerGlass_Cuirass_01,Altmer Glass Cuirass
T_He_AltmerGlass_Greaves_01,Altmer Glass Greaves
T_He_AltmerGlass_Helm_01,Altmer Closed Glass Helmet
T_He_AltmerGlass_Helm_02,Altmer Glass Open Helmet
T_He_AltmerGlass_L_Bracer_01,Altmer Glass Left Bracer
T_He_AltmerGlass_L_Pauldron_01,Altmer Glass Left Pauldron
T_He_AltmerGlass_R_Bracer_01,Altmer Glass Right Bracer
T_He_AltmerGlass_R_Pauldron_01,Altmer Glass Right Pauldron
T_He_Direnni_Boots_01,Direnni Armor Boots
T_He_Direnni_BracerL_01,Direnni Bracer Left
T_He_Direnni_BracerR_01,Direnni Bracer Right
T_He_Direnni_Cuirass_01,Direnni Cuirass
T_He_Direnni_Greaves_01,Direnni Greaves
T_He_Direnni_Helm_01,Direnni Helmet
T_He_Direnni_PauldronL_01,Direnni Pauldron Left
T_He_Direnni_PauldronR_01,Direnni Pauldron Right
T_Imp_Chain_Boots_01,Imperial Chain Boots
T_Imp_Chain_GauntletL_01,Imperial Chain Left Gauntlet
T_Imp_Chain_GauntletR_02,Imperial Chain Right Gauntlet
T_Imp_Chainmail_cuirass_01,Strident Chain Cuirass
T_Imp_Chainmail_cuirass_02,Massiquerra Chain Cuirass
T_Imp_Chainmail_cuirass_03,Brumath Chain Cuirass
T_Imp_Chainmail_cuirass_04,Kvetchi Chain Cuirass
T_Imp_Chainmail_Helm_01,Strident Chain Coif
T_Imp_Chainmail_Helm_02,Massiquerra Chain Coif
T_Imp_Chainmail_Helm_03,Brumath Chain Coif
T_Imp_Chainmail_Helm_04,Kvetchi Chain Coif
T_Imp_Cm_BootsCol_01,Common Leather Boots
T_Imp_Cm_BootsCol_02,Common Leather Boots
T_Imp_Cm_BootsCol_03,Common Leather Boots
T_Imp_Cm_BootsCol_04,Common Leather Boots
T_Imp_Cm_HatColWest_01,Common Cloth Cap
T_Imp_Cm_HatColWest_02,Common Cloth Cap
T_Imp_ColBronzeOld_Helm_01,Bronze Helm
T_Imp_ColFur_Boots_01,Colovian Fur Boots
T_Imp_ColFur_Boots_02,Colovian Fur Boots
T_Imp_ColFur_Boots_03,Colovian Fur Boots
T_Imp_ColFur_Boots_04,Colovian Fur Boots
T_Imp_ColFur_Cuirass_01,Colovian Fur Cuirass
T_Imp_ColFur_Cuirass_02,Colovian Fur Cuirass
T_Imp_ColFur_Cuirass_03,Colovian Fur Cuirass
T_Imp_ColFur_Cuirass_04,Colovian Fur Cuirass
T_Imp_ColFur_GauntL_01,Colovian Fur Left Gauntlet
T_Imp_ColFur_GauntL_02,Colovian Fur Left Gauntlet
T_Imp_ColFur_GauntL_03,Colovian Fur Left Gauntlet
T_Imp_ColFur_GauntL_04,Colovian Fur Left Gauntlet
T_Imp_ColFur_GauntR_01,Colovian Fur Right Gauntlet
T_Imp_ColFur_GauntR_02,Colovian Fur Right Gauntlet
T_Imp_ColFur_GauntR_03,Colovian Fur Right Gauntlet
T_Imp_ColFur_GauntR_04,Colovian Fur Right Gauntlet
T_Imp_ColFur_HelmBl_01,Colovian Fur Helm
T_Imp_ColFur_HelmEx_01,Extravagant Colovian Fur Helm
T_Imp_ColFur_HelmR_01,Colovian Fur Helm
T_Imp_ColFur_HelmTiger_01,Colovian Tiger Helm
T_Imp_ColIron1_Boots_01,<Deprecated>
T_Imp_ColIron1_Boots_02,<Deprecated>
T_Imp_ColIron1_Boots_03,<Deprecated>
T_Imp_ColIron1_Boots_04,<Deprecated>
T_Imp_ColIron1_Cuirass_01,<Deprecated>
T_Imp_ColIron1_Cuirass_02,<Deprecated>
T_Imp_ColIron1_Cuirass_03,<Deprecated>
T_Imp_ColIron1_Cuirass_04,<Deprecated>
T_Imp_ColIron1_GauntletL_01,<Deprecated>
T_Imp_ColIron1_GauntletL_02,<Deprecated>
T_Imp_ColIron1_GauntletL_03,<Deprecated>
T_Imp_ColIron1_GauntletL_04,<Deprecated>
T_Imp_ColIron1_GauntletR_01,<Deprecated>
T_Imp_ColIron1_GauntletR_02,<Deprecated>
T_Imp_ColIron1_GauntletR_03,<Deprecated>
T_Imp_ColIron1_GauntletR_04,<Deprecated>
T_Imp_ColIron1_Greaves_01,<Deprecated>
T_Imp_ColIron1_Greaves_02,<Deprecated>
T_Imp_ColIron1_Greaves_03,<Deprecated>
T_Imp_ColIron1_Greaves_04,<Deprecated>
T_Imp_ColIron1_Helm_01,<Deprecated>
T_Imp_ColIron1_Helm_02,<Deprecated>
T_Imp_ColIron1_Helm_03,<Deprecated>
T_Imp_ColIron1_Helm_04,<Deprecated>
T_Imp_ColIron1_PauldronL_01,<Deprecated>
T_Imp_ColIron1_PauldronL_02,<Deprecated>
T_Imp_ColIron1_PauldronL_03,<Deprecated>
